Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kalalou-square-velvet-foot-stool-with-iron-legs,,,,,,,,Cobblestone,,,,,NKHU1023,0.0,shopify,continue,manual,149.95,,true,true,'841628164909,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1022-1.jpg?v=1609392850,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1023-1.jpg?v=1609392850,lb,,8.00,
kalalou-velvet-dining-chair-with-iron-frame-avocado,Kalalou Velvet Dining Chair With Iron Frame,"<p>Velvet Dining Chair With Iron Frame</p>
<ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 17"" L x 18"" W x 34"" H</li>
<li>Color: Avocado, Cobblestone, Honey, Steel Blue</li>
<li>SKU: NKHU1012, <span>NKHU101</span><span>3, <span>NKHU101</span><span>4, NKHU1015</span></span>
</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Dining Chairs,"Avocado, Cobblestone, furniture-instock, Honey, Iron, Kalalou, Kalalou-Accent Chairs, Metal - Iron, Steel Blue",true,Color,Avocado,,,,,NKHU1013,0.0,shopify,continue,manual,257.95,,true,true,'841628164824,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1013-1.jpg?v=1609392845,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1013-1.jpg?v=1609392845,lb,,8.00,active
kalalou-velvet-dining-chair-with-iron-frame-avocado,,,,,,,,Cobblestone,,,,,NKHU1015,0.0,shopify,continue,manual,257.95,,true,true,'841628164848,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1012-1.jpg?v=1609392845,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1015-1.jpg?v=1609392845,lb,,8.00,
kalalou-velvet-dining-chair-with-iron-frame-avocado,,,,,,,,Honey,,,,,NKHU1014,0.0,shopify,continue,manual,257.95,,true,true,'841628164831,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1015-1.jpg?v=1609392845,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1014-1.jpg?v=1609392845,lb,,8.00,
kalalou-velvet-dining-chair-with-iron-frame-avocado,,,,,,,,Steel Blue,,,,,NKHU1012,0.0,shopify,continue,manual,257.95,,true,true,'841628164817,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1014-1.jpg?v=1609392845,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1012-1.jpg?v=1609392845,lb,,8.00,
kalalou-velvet-poof-steel-blue,Kalalou Velvet Poof - Steel Blue,"<p>Velvet Poof - Steel Blue</p>
<ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 18.5"" L x 18.5"" W x 18.5"" H</li>
<li>SKU: NKHU1008</li>
<li>Color: Steel Blue</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Stools & Benches,"Assembled, Blue, furniture-instock, Kalalou, Kalalou-Stools & Benches, Modern, Square, Velvet",true,Title,Default Title,,,,,NKHU1008,0.0,shopify,continue,manual,117.95,,true,true,'841628164770,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKHU1008-1.jpg?v=1609392840,1,,false,,,,,,,,,,,,,,,,,lb,,8.00,active
kalalou-bamboo-magazine-rack-table,Kalalou Bamboo Magazine Rack Table,"<p>Bamboo Magazine Rack Table</p><ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 21"" L x 15.5"" W x 24.5"" H</li>
<li>SKU: NKE1260</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Accent Tables,"100% Bamboo, Bamboo, furniture-instock, Kalalou, Kalalou-Accent Tables, Magazine Holders/Racks & Basket, Magazine Racks, Magazine Table, rustic-tables-on-sale",true,Title,Default Title,,,,,NKE1260,0.0,shopify,continue,manual,157.95,,true,true,'841628164725,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKE1260-1.jpg?v=1609392838,1,,false,Kalalou Bamboo Magazine Rack Table ABCD,"Bamboo Magazine Rack Table Product Description Product Dimensions : 21"" L x 15.5"" W x 24.5"" H SKU: NKE1260 Brand: Kalalou ABCD",,,,,,,,,,,,,,,lb,,4.00,active
kalalou-round-cane-table,Kalalou Round Cane Table,"<p>Round Cane Table</p><ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 24.41"" L x 24.41"" W x 18"" H</li>
<li>SKU: NKE1257</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Accent Tables,"100% Bamboo, Assembled, Bamboo, furniture-instock, Kalalou, Kalalou-Accent Tables, Modern, Round, rustic-tables-on-sale",true,Title,Default Title,,,,,NKE1257,0.0,shopify,continue,manual,177.95,,true,true,'841628164701,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKE1257-1.jpg?v=1609392834,1,,false,,,,,,,,,,,,,,,,,lb,,7.00,active
kalalou-cane-table-with-removeable-tray,Kalalou Cane Table With Removeable Tray,"<p>Cane Table With Removeable Tray</p><ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 20.08"" L x 20.08"" W x 25"" H</li>
<li>SKU: NKE1256</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Accent Tables,"100% Bamboo, Accent Tables, Bamboo, furniture-instock, Kalalou, Kalalou-Accent Tables, Removable Serving Tray, rustic-tables-on-sale",true,Title,Default Title,,,,,NKE1256,0.0,shopify,continue,manual,197.95,,true,true,'841628164695,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKE1256-1.jpg?v=1609392832,1,,false,,,,,,,,,,,,,,,,,lb,,1.00,active
kalalou-antique-brass-metal-swoop-chair-min-2,Kalalou Antique Brass Metal Swoop Chair (Set of 2),"<p>Antique Brass Metal Swoop Chair (Set of 2)</p>
<ul id=""cbp-ntaccordion"" class=""cbp-ntaccordion"">
<li>
<h3 class=""cbp-nttrigger"">Product Description</h3>
<div class=""cbp-ntcontent"">
<ul class=""inner_con"">
<li>Product Dimensions : 27.95"" L x 23.23"" W x 26.77"" H</li>
<li>Seat Height : 13""t</li>
<li>SKU: NKE1120</li>
<li>Brand: Kalalou</li>
</ul>
</div>
</li>
<li>
<div class=""split_description""></div>
</li>
</ul>",Kalalou,Accent Chairs,"Accent Chair, Accent Chairs, Aged Brass, Aged Metal, Anitque Brass, Antique Brass, Antique Metal, Antiqued Brass, furniture-instock, Kalalou, Kalalou-Accent Chairs, Rattan, Rattan-Furniture",true,Title,Default Title,,,,,NKE1120,0.0,shopify,deny,manual,695.95,,true,true,'841628134599,https://cdn.shopify.com/s/files/1/0480/4175/4779/products/NKE1120-1.jpg?v=1609392831,1,,false,,,,,,,,,,,,,,,,,lb,,3.00,active
